AGCNr,Name,RAdeg_HI,DECdeg_HI,RAdeg_OC,DECdeg_OC,Vhelio,W50,sigW,W20,HIflux,sigflux,SNR,RMS,Dist,sigDist,logMH,siglogMH,HIcode
5168,I.551...,145.25333,6.92417,145.25041,6.93556,8542,331,71,448,2.32,0.1,12.8,2.23,126.7,2.2,9.94,0.05,1
198518,........,145.25708,0.315,145.26292,0.31194,9093,187,12,210,1.46,0.12,7.0,3.39,134.7,2.2,9.8,0.06,1
192025,........,145.26042,10.94528,145.255,10.945,5541,99,4,120,1.5,0.07,14.9,2.25,81.4,2.3,9.37,0.05,1
198336,........,145.26791,8.92889,145.27542,8.92167,3152,87,7,99,0.62,0.06,6.7,2.19,48.0,2.3,8.53,0.07,1
190438,063-036.,145.28333,10.315,145.27959,10.31278,5898,56,8,99,0.96,0.06,12.6,2.24,88.9,2.4,9.25,0.06,1
5170,........,145.31084,2.81778,145.315,2.82083,14568,404,6,419,3.23,0.13,13.0,2.73,212.9,2.4,10.54,0.05,1
193901,........,145.32291,15.26222,145.33,15.25833,12198,288,5,296,1.4,0.1,7.5,2.45,178.7,2.3,10.02,0.05,1
190440,063-042.,145.3775,10.65111,145.38083,10.64139,5549,147,9,167,0.78,0.08,6.1,2.34,81.6,2.1,9.09,0.07,1
5173,063-040.,145.38292,11.41444,145.38417,11.4125,6236,490,3,515,9.13,0.13,35.1,2.37,95.9,4.4,10.3,0.06,1
190441,063-041.,145.40166,13.37611,145.39583,13.37944,12541,148,25,156,0.9,0.07,6.9,2.25,183.7,2.5,9.85,0.06,1
198309,........,145.43251,14.18583,145.43459,14.18417,13878,257,10,284,1.19,0.1,7.0,2.37,202.8,2.1,10.06,0.06,1
193902,........,145.43375,14.95972,145.43584,14.955,7858,79,11,127,1.39,0.04,19.5,1.78,116.7,2.2,9.65,0.05,1
192152,........,145.4425,11.88611,145.44209,11.88917,6827,53,4,81,1.22,0.05,17.1,2.14,95.9,4.4,9.42,0.06,1
190446,063-045.,145.46791,13.49278,145.46959,13.49028,8513,55,5,76,0.85,0.05,8.6,2.07,126.2,2.5,9.5,0.05,1
193903,........,145.46959,14.90417,145.46918,14.89278,7783,57,6,87,0.81,0.04,13.4,1.77,115.7,2.2,9.41,0.05,1
5177,063-046.,145.47542,11.63333,145.47459,11.63167,5070,242,4,264,5.52,0.1,34.4,2.3,74.9,2.2,9.86,0.05,1
